"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",32.041,28509.0592592593,289720.322222222,7678068.65342593,5728.14240740741,487.05537037037,9203.15083333333,41395.0896296296,77.7777777777778,472.232222222222,76.8518518518518,2080.69555555556,2074.21407407407,13280.57,13889.7651851852,117380.915,2035567.66148148,1152.83722222222,437.047037037037,1104.68833333333,24311.2166666667,169638.350740741,297.222222222222,10093.3548148148,11188.6192592593
"2",32.324,39832.6392592593,378015.442222222,9459908.53342593,1121.6924074074,387.04537037037,1900.21083333333,14446.3596296296,-22.2222222222222,172.222222222222,-23.1481481481481,1380.61555555556,774.094074074074,5375.92,12388.4851851852,97142.235,2080665.90148148,252.787222222222,37.037037037037,604.648333333333,22608.5766666667,164279.570740741,-2.77777777777778,3390.21481481481,5685.38925925926
"3",32.607,26806.1892592593,368499.522222222,9484680.40342593,2423.38240740741,187.04537037037,2900.42083333333,6240.51962962963,77.7777777777778,372.232222222222,176.851851851852,680.575555555556,1174.12407407407,8077.06,10887.3451851852,99255.505,2207422.54148148,452.787222222222,337.047037037037,304.638333333333,23109.3366666667,123392.900740741,-2.77777777777778,7191.61481481481,14491.5592592593
"4",32.8901,23200.6892592593,367169.792222222,8837019.45342593,5627.98240740741,-12.9646296296296,2200.27083333333,7040.89962962963,177.777777777778,172.222222222222,-23.1481481481481,780.575555555556,474.084074074074,4775.72,8886.04518518518,109423.315,2342522.94148148,52.7772222222222,-62.962962962963,404.638333333333,17301.5766666667,105155.660740741,97.2222222222222,3190.17481481481,7586.26925925926
"5",33.1731,23501.1192592593,370852.432222222,8663861.64342593,1622.3324074074,-12.9646296296296,1200.11083333333,4239.72962962963,-22.2222222222222,372.232222222222,-23.1481481481481,680.575555555556,74.0740740740741,4175.55,7385.24518518519,105496.345,2395672.94148148,152.777222222222,37.037037037037,104.628333333333,15299.4166666667,101228.960740741,-2.77777777777778,4290.45481481482,5485.30925925926
"6",33.4561,19295.6292592593,405468.642222222,10031399.9534259,-480.247592592594,287.04537037037,1500.15083333333,2839.32962962963,-22.2222222222222,-27.7777777777778,-23.1481481481481,1080.59555555556,174.074074074074,4275.58,6384.78518518519,112646.165,2087980.75148148,152.777222222222,137.037037037037,-95.3716666666666,13397.6066666667,76282.9707407407,-2.77777777777778,2590.04481481481,6585.76925925926
"7",33.7391,15791.8792592593,456502.162222222,9975503.07342593,1922.71240740741,187.04537037037,900.070833333333,4939.97962962963,-22.2222222222222,172.222222222222,76.8518518518518,880.585555555556,74.0740740740741,3575.41,4584.11518518519,103180.905,2272977.04148148,52.7772222222222,37.037037037037,-195.371666666667,10095.0466666667,73469.0707407407,197.222222222222,5090.71481481481,7086.00925925926
"8",34.0222,12889.3392592593,407826.872222222,9238286.65342593,3424.75240740741,87.0353703703704,600.040833333333,5840.33962962963,-22.2222222222222,72.2222222222222,-23.1481481481481,480.565555555556,374.084074074074,2975.28,5784.53518518519,107409.355,2101553.40148148,52.7772222222222,-62.962962962963,-95.3716666666666,10995.6666666667,69851.9707407407,-2.77777777777778,3090.14481481481,2084.40925925926
"9",34.3052,16592.6692592593,401368.252222222,9457568.69342593,3625.0324074074,-12.9646296296296,1200.11083333333,4839.93962962963,-22.2222222222222,172.222222222222,-23.1481481481481,80.5555555555556,174.074074074074,2475.2,4784.17518518519,97846.635,2151491.10148148,452.787222222222,137.037037037037,-95.3716666666666,8994.34666666667,71660.4107407407,97.2222222222222,4190.42481481481,3584.70925925926
"10",34.5882,13990.2392592593,387946.552222222,9279621.03342593,1121.6924074074,87.0353703703704,900.070833333333,3939.62962962963,177.777777777778,172.222222222222,-23.1481481481481,380.565555555556,174.074074074074,2075.14,4984.24518518519,109524.005,2041004.96148148,252.787222222222,37.037037037037,-95.3716666666666,10595.3866666667,61114.1907407407,-2.77777777777778,2590.04481481481,4484.95925925926
